Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  3.73      1.19     1.19                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ ba2c)
  [45] N(int, double, double) (terms.cpp:13 @ b8d0) [31] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:37 @ b930) [1432] alglib_impl::_ialglib_i_rmatrixrank1f(long, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, long) (ap.cpp:11408 @ 2a470)
 [221] N(int, double, double) (terms.cpp:14 @ b8dc) [83] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ b9b5) [1424] alglib_impl::rmatrixscaledtrsafesolve(alglib_impl::ae_matrix*, double, long, alglib_impl::ae_vector*, bool, long, bool, double, alglib_impl::ae_state*) (alglibinternal.cpp:9728 @ 6a340)
  [14] N(int, double, double) (terms.cpp:13 @ b8e0) [102] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ b9bf) [1486] alglib_impl::ae_matrix_init_attach_to_x(alglib_impl::ae_matrix*, alglib_impl::x_matrix*, alglib_impl::ae_state*, bool) (ap.cpp:1628 @ 169f0)
  [35] N(int, double, double) (terms.cpp:16 @ b903) [4] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ b9d1) [1454] alglib_impl::_ialglib_i_rmatrixlefttrsmf(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long) (ap.cpp:11335 @ 2a220)
  [58] N(int, double, double) (terms.cpp:17 @ b919) [1] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ ba2c) [1411] alglib_impl::xdot(alglib_impl::ae_vector*, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, double*, double*, alglib_impl::ae_state*) (alglibinternal.cpp:12477 @ 6f810)
  [20] N(int, double, double) (terms.cpp:13 @ b94e) [242] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ ba7c) [1434] alglib_impl::imax2(long, long, alglib_impl::ae_state*) (alglibinternal.cpp:2428 @ 5ed60)
 [139] N(int, double, double) (terms.cpp:16 @ b976) [103] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ ba83) [1389] alglib_impl::ae_log(double, alglib_impl::ae_state*) (ap.cpp:2589 @ 17f90)
 [112] N(int, double, double) (terms.cpp:19 @ b990) [104] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:35 @ bae6) [1394] alglib_impl::ae_sqr(double, alglib_impl::ae_state*) (ap.cpp:2468 @ 17ce0)
 [101] N(int, double, double) (terms.cpp:13 @ ba85) [15] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:37 @ bb58) [1381] alglib_impl::ae_fabs(double, alglib_impl::ae_state*) (ap.cpp:2458 @ 17ca0)
  [38] N(int, double, double) (terms.cpp:14 @ ba92) [21] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:33 @ bc5d) [1414] alglib_impl::ae_free(void*) (ap.cpp:850 @ 13280)
  [12] N(int, double, double) (terms.cpp:13 @ ba96) [27] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:33 @ bc7d) [1416] alglib_impl::ae_sign(double, alglib_impl::ae_state*) (ap.cpp:2478 @ 17d00)
  [59] N(int, double, double) (terms.cpp:16 @ babb) [243] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ c10a) [1425] alglib_impl::ae_sqrt(double, alglib_impl::ae_state*) (ap.cpp:2473 @ 17cf0)
  [44] N(int, double, double) (terms.cpp:13 @ baf0) [244] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ c174) [1388] alglib_impl::ae_c_abs(alglib_impl::ae_complex, alglib_impl::ae_state*) (ap.cpp:4819 @ 1a470)
 [121] N(int, double, double) (terms.cpp:14 @ bafd) [137] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ c5c0) [1401] alglib_impl::ae_c_div(alglib_impl::ae_complex, alglib_impl::ae_complex) (ap.cpp:4881 @ 1a610)
  [25] N(int, double, double) (terms.cpp:13 @ bb01) [48] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ c5df) [1395] alglib_impl::ae_fp_eq(double, double) (ap.cpp:2251 @ 17890)
 [146] N(int, double, double) (terms.cpp:14 @ bb18) [92] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ c645) [1415] alglib_impl::ae_round(double, alglib_impl::ae_state*) (ap.cpp:2485 @ 17d30)
  [34] N(int, double, double) (terms.cpp:13 @ bb1c) [190] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:33 @ c710) [1382] alglib_impl::ae_trunc(double, alglib_impl::ae_state*) (ap.cpp:2490 @ 17d60)
  [39] N(int, double, double) (terms.cpp:16 @ bb2d) [204] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:37 @ c780) [268] alglib_impl::ae_trunc(double, alglib_impl::ae_state*) (ap.cpp:2501 @ 17d90)
  [56] N(int, double, double) (terms.cpp:17 @ bb44) [165] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ ca31) [1437] alglib_impl::ae_v_add(double*, long, double const*, long, long) (ap.cpp:5632 @ 1c610)
  [13] N(int, double, double) (terms.cpp:13 @ bb83) [287] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ ca44) [1385] alglib_impl::ae_v_len(long, long) (ap.cpp:5742 @ 1cbc0)
 [113] N(int, double, double) (terms.cpp:16 @ bbb4) [61] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ ca4a) [1407] alglib_impl::ae_assert(bool, char const*, alglib_impl::ae_state*) (ap.cpp:2151 @ 17830)
  [96] N(int, double, double) (terms.cpp:19 @ bbc6) [65] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ cab4) [1397] alglib_impl::ae_c_eq_d(alglib_impl::ae_complex, double) (ap.cpp:4903 @ 1a6b0)
  [47] N(int, double, double) (terms.cpp:17 @ bc20) [245] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ cb02) [1383] alglib_impl::ae_fp_neq(double, double) (ap.cpp:2259 @ 178c0)
  [30] N(int, double, double) (terms.cpp:19 @ bc50) [210] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ cb14) [1404] alglib_impl::ae_malloc(unsigned long, alglib_impl::ae_state*) (ap.cpp:839 @ 15d40)
  [32] N(int, double, double) (terms.cpp:19 @ bc70) [191] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:35 @ cb3b) [1487] alglib_impl::ae_maxint(long, long, alglib_impl::ae_state*) (ap.cpp:2505 @ 17e00)
 [222] N(int, double, double) (terms.cpp:19 @ c3a0) [156] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:37 @ cb98) [1418] alglib_impl::ae_minint(long, long, alglib_impl::ae_state*) (ap.cpp:2510 @ 17e20)
 [277] N(int, double, double) (terms.cpp:14 @ c6c0) [192] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ cfed) [1408] alglib_impl::ae_v_addd(double*, long, double const*, long, long, double) (ap.cpp:5659 @ 1c720)
 [197] N(int, double, double) (terms.cpp:13 @ c6c4) [49] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ d006) [1405] alglib_impl::ae_v_move(double*, long, double const*, long, long) (ap.cpp:5551 @ 1c320)
 [223] N(int, double, double) (terms.cpp:16 @ c6e7) [99] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ d06c) [1403] alglib_impl::ae_v_muld(double*, long, long, double) (ap.cpp:5718 @ 1cac0)
 [224] N(int, double, double) (terms.cpp:13 @ c720) [166] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:33 @ d138) [1409] alglib_impl::ae_v_subd(double*, long, double const*, long, long, double) (ap.cpp:5713 @ 1c970)
 [173] N(int, double, double) (terms.cpp:13 @ c730) [288] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:35 @ d13e) [1488] alglib_impl::rmatrixlu(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:26568 @ c3520)
 [162] N(int, double, double) (terms.cpp:16 @ c753) [205] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:37 @ d1a0) [1406] alglib_impl::xblas_xfastpow(double, long, alglib_impl::ae_state*) (alglibinternal.cpp:12776 @ 59ca0)
 [174] N(int, double, double) (terms.cpp:17 @ c769) [1476] solve(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >&, std::vector<double, std::allocator<double> >&) (linear_solve.cpp:11 @ 5350) [1422] alglib_impl::rcond_rmatrixestimatenorm(long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_vector*, double*, long*, alglib_impl::ae_state*) (linalg.cpp:31181 @ 75c40)
 [175] N(int, double, double) (terms.cpp:14 @ c79e) [1375] CosInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:49 @ ab30) [1455] alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30611 @ 842d0)
 [147] N(int, double, double) (terms.cpp:13 @ c7a2) [246] CosInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:51 @ ab62) [1398] alglib_impl::safesolve_cbasicsolveandupdate(alglib_impl::ae_complex, alglib_impl::ae_complex, double, double, double, double*, alglib_impl::ae_complex*, alglib_impl::ae_state*) (alglibinternal.cpp:10340 @ 54e40)
 [198] N(int, double, double) (terms.cpp:13 @ c7d8) [193] CosInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:51 @ ab73) [1489] alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9288 @ 35990)
 [199] N(int, double, double) (terms.cpp:16 @ c7f9) [247] CosInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (stl_vector.h:671 @ ad0e) [1490] alglib::rmatrixsolve(alglib::real_2d_array const&, long, alglib::real_1d_array const&, long&, alglib::densesolverreport&, alglib::real_1d_array&, alglib::xparams) (solvers.cpp:385 @ 40b40)
 [225] N(int, double, double) (terms.cpp:19 @ c80f) [141] CosInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:61 @ b1cd) [1456] alglib::real_1d_array::attach_to_ptr(long, double*) (ap.cpp:7521 @ 2c8d0)
 [226] N(int, double, double) (terms.cpp:14 @ c870) [248] CosInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (stl_algobase.h:224 @ b290) [1457] alglib::real_1d_array::real_1d_array() (ap.cpp:7465 @ 2b9a0)
 [176] N(int, double, double) (terms.cpp:13 @ c874) [1376] SinInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:69 @ b570) [1458] alglib::real_1d_array::~real_1d_array() (ap.cpp:7482 @ 13130)
 [177] N(int, double, double) (terms.cpp:14 @ c88c) [249] SinInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:69 @ b593) [1427] alglib::real_1d_array::operator[](long) (ap.cpp:7489 @ 20fc0)
 [178] N(int, double, double) (terms.cpp:13 @ c890) [250] SinInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (stl_algobase.h:224 @ b5a9) [1491] alglib::real_2d_array::attach_to_ptr(long, long, double*) (ap.cpp:8103 @ 2dd30)
 [148] N(int, double, double) (terms.cpp:13 @ c8b8) [290] SinInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (stl_vector.h:671 @ b72d) [1492] alglib::real_2d_array::real_2d_array() (ap.cpp:8046 @ 2cdc0)
 [149] N(int, double, double) (terms.cpp:16 @ c8cd) [167] SinInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:80 @ bc0d) [1493] alglib::real_2d_array::~real_2d_array() (ap.cpp:8058 @ 13240)
 [227] N(int, double, double) (terms.cpp:17 @ c958) [1464] theta0(double) (problem_definition.cpp:48 @ 11e30) [1494] alglib::ae_matrix_wrapper::ae_matrix_wrapper(long) (ap.cpp:7672 @ 2cb80)
 [142] N(int, double, double) (terms.cpp:19 @ c9e8) [1377] dCosInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:124 @ cd50) [1495] alglib::ae_matrix_wrapper::~ae_matrix_wrapper() (ap.cpp:7728 @ 13170)
 [122] N(int, double, double) (terms.cpp:13 @ cb1d) [291] dCosInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:140 @ d285) [1496] alglib::ae_vector_wrapper::c_ptr() (ap.cpp:7253 @ 20dd0)
 [163] N(int, double, double) (terms.cpp:14 @ cb4c) [292] dCosInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:135 @ d29c) [1459] alglib::ae_vector_wrapper::attach_to(alglib_impl::x_vector*, alglib_impl::ae_state*) (ap.cpp:7212 @ 20c80)
  [85] N(int, double, double) (terms.cpp:13 @ cb50) [1378] dSinInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:101 @ c3f0) [1460] alglib::ae_vector_wrapper::ae_vector_wrapper(long) (ap.cpp:7125 @ 2b7c0)
  [88] N(int, double, double) (terms.cpp:16 @ cb73) [251] dSinInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:105 @ c453) [1461] alglib::ae_vector_wrapper::~ae_vector_wrapper() (ap.cpp:7177 @ 13070)
 [228] N(int, double, double) (terms.cpp:17 @ cb89) [252] dSinInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:19 @ ca12) [269] alglib::densesolverreport::densesolverreport() (solvers.cpp:175 @ 38f10)
  [36] N(int, double, double) (terms.cpp:13 @ cbb0) [253] dSinInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:110 @ ff47) [1497] alglib::densesolverreport::~densesolverreport() (solvers.cpp:191 @ 37ba0)
 [106] N(int, double, double) (terms.cpp:16 @ cc1e) [293] dSinInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:110 @ 10448) [1498] alglib::_densesolverreport_owner::_densesolverreport_owner() (solvers.cpp:71 @ 38ad0)
 [164] N(int, double, double) (terms.cpp:19 @ cc34) [1387] dversch(double, double) (problem_definition.cpp:22 @ 11c50) [1438] alglib::_densesolverlsreport_owner::~_densesolverlsreport_owner() (solvers.cpp:285 @ 35530)
 [123] N(int, double, double) (terms.cpp:13 @ cc58) [1439] multipl(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >&, std::vector<double, std::allocator<double> >&) (operators.cpp:19 @ 121d0) [1499] alglib::ae_matrix_wrapper::c_ptr() const (ap.cpp:7879 @ 21220)
 [179] N(int, double, double) (terms.cpp:16 @ cc71) [1441] multipl(double, std::vector<double, std::allocator<double> >&) (operators.cpp:29 @ 12300) [1500] alglib::ae_vector_wrapper::c_ptr() const (ap.cpp:7251 @ 20dc0)
  [80] N(int, double, double) (terms.cpp:16 @ cca0) [1465] theta0p(double) (problem_definition.cpp:52 @ 11e60) [303] alglib::_densesolverreport_owner::c_ptr() const (solvers.cpp:169 @ 38f00)
